#BLTrackFile2 CALOCNTR
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
8.05936 16.5831 18000 -0.015263 3.11388 61.3572 149.443 211 3432 1 1 1 0 0 0 0 0 0 135.329 17858.4 0 0 0 9.67942 -2.91774 149.95 1.58389 12.9232 
-16.2595 -8.48866 18000 2.27443 -1.63597 68.4653 136.141 211 10636 1 1 1 0 0 0 0 0 0 120.819 17782.8 0 0 0 22.1116 0.152177 149.95 1.54552 15.9135 
-22.3361 -0.635911 18000 1.3547 0.336925 64.7889 142.163 211 12887 1 1 1 0 0 0 0 0 0 127.706 17776.2 0 0 0 -0.824397 -1.72457 149.95 1.36339 14.3109 
23.3192 -27.0225 18000 0.9244 0.146621 65.4718 141.372 211 17105 1 1 1 0 0 0 0 0 0 126.702 17820.1 0 0 0 35.346 -5.46277 149.95 1.4194 14.5962 
-3.98421 -4.75729 18000 0.166757 1.15861 63.8492 144.212 211 18965 1 1 1 0 0 0 0 0 0 129.618 17779.6 0 0 0 13.4554 -1.83302 149.95 1.67081 13.9157 
-4.74655 -14.9943 18000 0.229714 -0.251646 69.0042 135.421 211 29771 1 1 1 0 0 0 0 0 0 120.15 17808.8 0 0 0 -1.22446 -3.81795 149.95 1.38745 16.1268 
22.3992 10.2306 18000 2.14559 2.214 63.4839 144.933 211 30282 1 1 1 0 0 0 0 0 0 130.529 17820.1 0 0 0 20.336 5.28483 149.95 1.50703 13.7907 
-7.95041 -32.503 18000 1.24715 0.768821 70.1518 133.905 211 31350 1 1 1 0 0 0 0 0 0 118.413 17846.8 0 0 0 1.35118 -1.88243 149.95 1.36983 16.6453 
5.39355 -12.8861 18000 2.31506 -3.32215 66.1545 139.819 211 32739 1 1 1 0 0 0 0 0 0 124.969 17791.1 0 0 0 0.237129 -4.93544 149.95 1.4747 14.9376 
10.838 0.814417 18000 -2.36459 -0.868685 67.3495 137.968 211 34489 1 1 1 0 0 0 0 0 0 123.098 17820.4 0 0 0 -14.7654 0.721421 149.95 1.26999 15.4206 
13.4079 -22.5776 18000 1.52133 1.60115 66.4018 139.817 211 34663 1 1 1 0 0 0 0 0 0 124.812 17811.6 0 0 0 32.3755 -8.61133 149.95 1.58537 15.0064 
