#BLTrackFile2 CALOENTR
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
16.6335 34.5541 17198.5 0.261456 -0.466388 69.0464 129.597 211 1001 1 1 1 0 0 0 0 0 0 114.768 17021.7 0 0 0 9.20735 0.24105 149.95 1.55234 16.146 
20.7549 -10.5984 17198.5 0.0402817 0.595265 62.5201 140.49 211 1245 1 1 1 0 0 0 0 0 0 126.784 17026.8 0 0 0 21.2185 -4.08124 149.95 1.5661 13.3643 
21.1566 27.4745 17198.5 1.31063 -1.46931 64.166 137.595 211 2216 1 1 1 0 0 0 0 0 0 123.723 17060.3 0 0 0 33.3294 5.41489 149.95 1.41218 14.056 
8.25873 -24.0906 17198.5 -0.015263 3.11388 61.3572 142.799 211 3432 1 1 1 0 0 0 0 0 0 129.248 17055.9 0 0 0 9.67942 -2.91774 149.95 1.58389 12.9232 
-42.8838 10.6619 17198.5 2.27443 -1.63597 68.4653 130.069 211 10636 1 1 1 0 0 0 0 0 0 115.37 16980.6 0 0 0 22.1116 0.152177 149.95 1.54552 15.9135 
-39.0941 -4.80372 17198.5 1.3547 0.336925 64.7889 135.814 211 12887 1 1 1 0 0 0 0 0 0 121.947 16974.6 0 0 0 -0.824397 -1.72457 149.95 1.36339 14.3109 
12.0034 -28.8173 17198.5 0.9244 0.146621 65.4718 135.077 211 17105 1 1 1 0 0 0 0 0 0 121.003 17018.6 0 0 0 35.346 -5.46277 149.95 1.4194 14.5962 
-6.07738 -19.3004 17198.5 0.166757 1.15861 63.8492 137.785 211 18965 1 1 1 0 0 0 0 0 0 123.774 16978 0 0 0 13.4554 -1.83302 149.95 1.67081 13.9157 
3.76081 -99.4492 17198.5 -0.962965 2.86685 70.4849 127.625 211 24028 1 1 1 0 0 0 0 0 0 112.773 17089.5 0 0 0 -9.66915 5.64745 149.95 1.26356 16.8175 
-7.41456 -12.0716 17198.5 0.229714 -0.251646 69.0042 129.389 211 29771 1 1 1 0 0 0 0 0 0 114.743 17007.3 0 0 0 -1.22446 -3.81795 149.95 1.38745 16.1268 
