# g4beamline profile
#Z N meanX sigmaX meanY sigmaY emitX emitY emitTrans betaX betaY betaTrans alphaX alphaY alphaTrans meanP
#mm - mm mm mm mm mm-rad mm-rad mm-rad mm mm mm - - - MeV/c
2003.0 13691 -17.413 109.960 3.308 96.175 4.345 1.287 2.365 2699 2065 2382 -3.216 1.287 -0.9647 74.96
2013.0 13608 -17.697 110.500 3.165 95.446 4.323 1.281 2.354 2738 2043 2391 -3.235 1.284 -0.9757 74.93
2023.0 13510 -18.093 111.023 3.076 94.600 4.298 1.272 2.339 2781 2019 2400 -3.251 1.281 -0.9848 74.89
2033.0 13414 -18.446 111.393 3.139 93.851 4.27 1.268 2.327 2813 1997 2405 -3.257 1.279 -0.9893 74.85
2043.0 13315 -18.561 111.565 3.193 93.210 4.235 1.263 2.313 2837 1980 2409 -3.255 1.28 -0.9874 74.81
2053.1 13225 -18.798 111.934 3.225 92.498 4.207 1.257 2.3 2871 1961 2416 -3.266 1.278 -0.9937 74.77
2063.1 13140 -18.911 112.434 3.182 91.745 4.188 1.254 2.292 2906 1935 2421 -3.277 1.274 -1.002 74.72
2073.1 13046 -19.078 112.765 3.172 91.023 4.159 1.25 2.28 2937 1914 2425 -3.282 1.271 -1.006 74.68
2083.1 12956 -19.461 113.037 3.105 90.310 4.131 1.247 2.27 2964 1892 2428 -3.281 1.268 -1.007 74.65
2093.1 12871 -19.558 113.340 3.067 89.677 4.102 1.245 2.26 2992 1873 2433 -3.285 1.267 -1.009 74.61
2103.1 12790 -19.923 113.720 2.855 88.974 4.078 1.243 2.251 3024 1851 2437 -3.294 1.262 -1.016 74.59
2113.1 12707 -20.410 114.051 2.947 88.281 4.053 1.24 2.242 3053 1829 2441 -3.298 1.258 -1.02 74.56
2123.1 12636 -20.823 114.571 2.832 87.554 4.035 1.239 2.235 3089 1804 2446 -3.307 1.251 -1.028 74.53
2133.1 12546 -21.060 114.759 2.880 86.903 4.006 1.238 2.227 3110 1783 2447 -3.303 1.247 -1.028 74.5
2143.1 12474 -21.430 115.144 2.811 86.233 3.983 1.238 2.221 3139 1761 2450 -3.301 1.241 -1.03 74.47
